Protein ID,Gene,Protein Length,Protein Existence,Description,Protein Probability,Top Peptide Probability,MCF7Kelly10c_5 Intensity,MCF7Kelly10c_6 Intensity,MCF7Kelly10c_7 Intensity,MCF7Kelly10c_8 Intensity,MCF7Kelly1c_5 Intensity,MCF7Kelly1c_6 Intensity,MCF7Kelly1c_7 Intensity,MCF7Kelly1c_8 Intensity,MCF7Kelly2c_5 Intensity,MCF7Kelly2c_6 Intensity,MCF7Kelly2c_7 Intensity,MCF7Kelly2c_8 Intensity
O00115-2,DNASE2,305,,Isoform 2 of Deoxyribonuclease-2-alpha,1,0.999,22743.844,20540.51,38115.594,38871.96,0,8408.646,0,0,9781.969,0,0,8909.684
O00139-1,KIF2A,679,,Isoform 1 of Kinesin-like protein KIF2A,1,0.999,5708.882,14391.014,11473.517,0,0,0,0,0,0,0,0,0
O00148,DDX39A,427,1:Experimental evidence at protein level,ATP-dependent RNA helicase DDX39A,1,0.999,81463.016,108517.234,133192.38,118888.125,0,10954.652,0,0,32403.016,26477.213,22119.5,30048.969
O00151,PDLIM1,329,1:Experimental evidence at protein level,PDZ and LIM domain protein 1,0.8663,0.9969,0,0,16194.949,0,0,0,0,0,0,0,0,0
O00154-4,ACOT7,338,,Isoform 4 of Cytosolic acyl coenzyme A thioester hydrolase,1,0.999,185493.5,262219.8,311792.44,237024.1,7669.9307,16812.871,0,0,62008.93,14111.23,34199.055,62377.594
O00159-3,MYO1C,1044,,Isoform 3 of Unconventional myosin-Ic,1,0.999,255120.72,313632.22,310604.6,358400.06,0,3180.185,11982.421,0,19074.266,5429.466,7303.407,44264.008
O00161-2,SNAP23,158,,Isoform SNAP-23b of Synaptosomal-associated protein 23,1,0.999,19953.336,0,0,40217.344,0,0,0,0,0,0,0,0
O00165-2,HAX1,287,,Isoform 2 of HCLS1-associated protein X-1,1,0.999,25170.803,5885.384,29151.244,24542.256,0,0,0,0,0,0,0,0
O00170,AIP,330,1:Experimental evidence at protein level,AH receptor-interacting protein,1,0.999,34981.406,85970.6,123026.02,95158.64,0,0,0,0,22395.844,11390.975,9312.711,14834.504
O00178,GTPBP1,669,1:Experimental evidence at protein level,GTP-binding protein 1,0.9524,0.999,0,0,2140.0854,0,0,0,0,0,0,0,0,0
O00186,STXBP3,592,1:Experimental evidence at protein level,Syntaxin-binding protein 3,1,0.999,8930.744,8433.248,33769.01,19185.781,0,0,0,0,45331.86,0,0,0
O00192-2,ARVCF,899,,Isoform Short of Armadillo repeat protein deleted in velo-cardio-facial syndrome,0.8055,0.9952,0,0,0,18270.33,0,0,0,0,0,0,0,0
O00193,SMAP,183,1:Experimental evidence at protein level,Small acidic protein,1,0.999,12170.028,66674.04,34078.3,16617.168,0,0,0,0,0,8563.666,5376.7656,6429.8623
O00194,RAB27B,218,1:Experimental evidence at protein level,Ras-related protein Rab-27B,1,0.999,37419.637,36123.445,37977.484,34744.25,0,3313.9824,0,0,5957.1685,0,0,5971.089
O00203-3,AP3B1,1045,,Isoform 2 of AP-3 complex subunit beta-1,1,0.999,63404.676,137063.36,134632.52,127785.234,0,4449.8784,0,0,7086.29,5678.3975,5159.044,14877.566
O00204-2,SULT2B1,350,,Isoform 2 of Sulfotransferase 2B1,1,0.999,0,20645.922,34373.766,16592.246,0,0,0,0,0,0,0,4619.365
O00214-2,LGALS8,359,,Isoform 2 of Galectin-8,0.9185,0.9982,0,0,0,7528.006,0,0,0,0,0,0,0,0
O00217,NDUFS8,210,1:Experimental evidence at protein level,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",1,0.999,33082.062,47099.53,43623.094,37640.773,0,0,0,3404.997,6574.7246,6692.738,5581.512,7897.233
O00231,PSMD11,422,1:Experimental evidence at protein level,26S proteasome non-ATPase regulatory subunit 11,1,0.999,297586.16,437705.2,410475.84,371116.66,18430.68,18766.418,23645.3,10278.838,110598.16,51922.883,51090.508,86071.4
O00232,PSMD12,456,1:Experimental evidence at protein level,26S proteasome non-ATPase regulatory subunit 12,1,0.999,284757.4,502969.56,505224.53,399816.66,20687.77,33218.88,20660.248,9254.28,125806.086,39893.008,57892.883,114175.336
O00233-2,PSMD9,209,,Isoform p27-S of 26S proteasome non-ATPase regulatory subunit 9,1,0.999,78108.375,132940.84,110686.87,80479.625,18227.883,16722.129,0,0,21381.57,19465.967,13458.06,26777.572
O00244,ATOX1,68,1:Experimental evidence at protein level,Copper transport protein ATOX1,1,0.999,9479.6045,11500.049,62760.426,81926.25,0,0,0,0,22837.514,0,0,51961.727
O00255-2,MEN1,610,,Isoform 2 of Menin,0.9522,0.999,0,0,9396.537,0,0,0,0,0,0,0,0,0
O00264,PGRMC1,195,1:Experimental evidence at protein level,Membrane-associated progesterone receptor component 1,1,0.999,196880.7,299654.6,271460.75,236396.42,25485.613,30464.354,5287.66,27372.605,57201.477,38875.703,8214.651,55757.133
O00267-2,SUPT5H,1083,,Isoform 2 of Transcription elongation factor SPT5,1,0.999,61374.426,42450.355,79721.5,52055.047,0,0,0,0,0,0,0,0
O00273-2,DFFA,268,,Isoform DFF35 of DNA fragmentation factor subunit alpha,1,0.999,0,31679.42,31214.375,27011.16,0,0,0,0,19145.498,0,0,12067.746
O00299,CLIC1,241,1:Experimental evidence at protein level,Chloride intracellular channel protein 1,1,0.999,637751.56,853458.25,991342.94,706656.44,140888.62,201616.88,0,0,318733.56,254926.84,191466.22,277942.47
O00303,EIF3F,357,1:Experimental evidence at protein level,Eukaryotic translation initiation factor 3 subunit F,1,0.999,52947.39,139540.92,133608.39,92122.42,3940.9011,13418.089,12727.967,2293.1455,27081.96,20971.84,14076.02,25335.586
O00308-2,WWP2,754,,Isoform 2 of NEDD4-like E3 ubiquitin-protein ligase WWP2,0.9373,0.9987,0,0,0,5917.1465,0,0,0,0,0,0,0,0
O00330-3,PDHX,486,,"Isoform 3 of Pyruvate dehydrogenase protein X component, mitochondrial",1,0.999,9355.644,18338.154,13286.578,18281.88,0,0,0,0,0,0,0,0
O00410,IPO5,1097,1:Experimental evidence at protein level,Importin-5,1,0.999,8163.3,43192.492,32896.89,18336.865,0,0,0,0,4534.634,4471.424,4177.683,8446.516
O00411,POLRMT,1230,1:Experimental evidence at protein level,"DNA-directed RNA polymerase, mitochondrial",0.9524,0.999,3614.8694,2014.5181,0,0,0,0,0,0,0,0,0,0
O00422-2,SAP18,172,,Isoform 2 of Histone deacetylase complex subunit SAP18,1,0.999,132448.62,140531.56,173602.72,129812.89,5136.7886,6431.924,5793.3936,11627.035,16471.64,0,25134.498,25443.527
O00429-2,DNM1L,725,,Isoform 4 of Dynamin-1-like protein,0.9999,0.999,0,7109.731,6667.2227,5798.4785,0,0,0,0,0,0,0,0
O00429-3,DNM1L,710,,Isoform 2 of Dynamin-1-like protein,0.99,0.999,27311.627,111898.49,109904.195,48511.656,0,4039.5232,0,0,16495.945,3435.6138,0,5184.611
O00442-2,RTCA,379,,Isoform 2 of RNA 3'-terminal phosphate cyclase,1,0.999,8305.976,65765.58,31383.88,31875.27,0,3660.532,0,0,0,4063.6775,0,4947.4355
O00469-2,PLOD2,758,,"Isoform 2 of Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",1,0.9986,10987.279,4519.1294,0,0,0,0,0,0,0,0,0,0
O00483,NDUFA4,81,1:Experimental evidence at protein level,Cytochrome c oxidase subunit NDUFA4,1,0.999,52406.37,102204.14,58251.715,53276.465,0,7965.1475,7939.9976,10538.816,16572.412,14786.111,12117.135,44588.96
O00487,PSMD14,310,1:Experimental evidence at protein level,26S proteasome non-ATPase regulatory subunit 14,1,0.999,207674.6,240129.12,276554.28,232828.52,15991.858,33459.363,24761.977,0,76002.03,50717.15,42863.434,59265.89
O00505,KPNA3,521,1:Experimental evidence at protein level,Importin subunit alpha-4,1,0.999,16444.52,45396.414,75382.836,20192.66,0,0,0,0,0,0,0,17166.191
O00515,LAD1,517,1:Experimental evidence at protein level,Ladinin-1,1,0.999,0,10159.736,7914.228,4813.6196,0,0,0,0,0,0,0,0
O00519,FAAH,579,1:Experimental evidence at protein level,Fatty-acid amide hydrolase 1,0.9523,0.999,0,5094.0454,0,0,0,0,0,0,0,0,0,0
O00541-2,PES1,583,,Isoform 2 of Pescadillo homolog,1,0.999,42679.59,50265.652,68840.38,22326.13,0,0,3965.5894,0,6121.372,0,0,3997.467
O00559-2,EBAG9,258,,Isoform 2 of Receptor-binding cancer antigen expressed on SiSo cells,1,0.999,23594.598,11962.7,23602.344,29173.379,0,0,0,0,0,0,0,0
O00566,MPHOSPH10,681,1:Experimental evidence at protein level,U3 small nucleolar ribonucleoprotein protein MPP10,1,0.999,9505.859,21527.588,0,0,0,0,0,0,0,0,0,0
O00567,NOP56,594,1:Experimental evidence at protein level,Nucleolar protein 56,1,0.999,209260.62,261376.94,331239.5,327984.28,8149.909,12426.871,27543.26,16598.188,51773.477,40102.055,18366.682,61405.164
O00571,DDX3X,662,1:Experimental evidence at protein level,ATP-dependent RNA helicase DDX3X,1,0.999,393855.22,617575.06,650998.75,456192.9,45427.824,89023.82,57457.777,14592.634,153996.95,131658.94,111131.945,151635.45
O00584,RNASET2,256,1:Experimental evidence at protein level,Ribonuclease T2,0.9307,0.9985,0,0,0,14114.312,0,0,0,0,0,0,0,0
O00625,PIR,290,1:Experimental evidence at protein level,Pirin,1,0.999,111398.6,131052.39,191138.27,119605.06,16212.096,2146.0742,0,0,40700.414,8232.217,23605.697,44150.586
O00629,KPNA4,521,1:Experimental evidence at protein level,Importin subunit alpha-3,0.9898,0.999,7908.309,10359.485,9097.585,8794.982,2985.8904,0,0,0,0,0,0,0
O00716-2,E2F3,334,,Isoform 2 of Transcription factor E2F3,0.9514,0.999,0,0,1856.8475,0,0,0,0,0,0,0,0,0
O00743-2,PPP6C,283,,Isoform 2 of Serine/threonine-protein phosphatase 6 catalytic subunit,1,0.999,0,40143.22,38872.53,23290.082,0,0,0,0,0,9684.161,0,0
O00757,FBP2,339,1:Experimental evidence at protein level,"Fructose-1,6-bisphosphatase isozyme 2",0.9984,0.999,57344.875,83651.445,76230.016,85284.95,12764.406,25973.514,0,0,31890.166,20635.207,21672.355,28866.33
O00762,UBE2C,179,1:Experimental evidence at protein level,Ubiquitin-conjugating enzyme E2 C,1,0.999,9032.211,16016.103,116843.31,0,0,0,0,0,22053.594,0,0,6087.2817
O00764,PDXK,312,1:Experimental evidence at protein level,Pyridoxal kinase,1,0.999,94478.06,154283.92,180887.02,115218.1,2829.318,0,0,0,21952.176,12432.567,0,13712.147
O00767,SCD,359,1:Experimental evidence at protein level,Acyl-CoA desaturase,1,0.999,179251.25,169483.08,257744.28,325450.66,20157.45,6901.5293,15744.496,47922.047,78259.83,15948.488,33976.062,52874.566
O14497,ARID1A,2285,1:Experimental evidence at protein level,AT-rich interactive domain-containing protein 1A,1,0.999,401488.56,20254.215,22255.16,27579.008,0,0,0,0,0,28257.521,0,0
O14519-2,CDK2AP1,87,,Isoform 2 of Cyclin-dependent kinase 2-associated protein 1,0.9524,0.999,6448.361,0,6419.82,3890.6755,0,0,0,0,0,0,0,0
O14523-2,C2CD2L,707,,Isoform 2 of Phospholipid transfer protein C2CD2L,0.9519,0.999,0,5148.686,0,0,0,0,0,0,0,0,0,0
O14545,TRAFD1,582,1:Experimental evidence at protein level,TRAF-type zinc finger domain-containing protein 1,0.997,0.999,0,0,6106.5103,4297.7803,0,0,0,0,0,0,0,0
O14548,COX7A2L,114,1:Experimental evidence at protein level,"Cytochrome c oxidase subunit 7A-related protein, mitochondrial",1,0.999,17049.09,18788.383,38353.97,20689.018,0,5208.044,0,0,0,0,0,8514.745
O14562,UBFD1,309,1:Experimental evidence at protein level,Ubiquitin domain-containing protein UBFD1,1,0.999,20495.666,82390.01,32688.729,24435.502,0,0,0,0,11681.0625,0,0,11755.532
O14579-3,COPE,256,,Isoform 3 of Coatomer subunit epsilon,1,0.999,113054.83,139378.48,189320.64,165096.67,0,4277.3706,0,0,63454.668,33492.9,16961.695,56688.387
O14602,EIF1AY,144,1:Experimental evidence at protein level,"Eukaryotic translation initiation factor 1A, Y-chromosomal",1,0.999,117098.63,194902.95,240124.55,170199.94,9397.838,8614.022,5245.0254,0,61568.734,50149.79,15202.527,61192.914
O14617-2,AP3D1,1112,,Isoform 2 of AP-3 complex subunit delta-1,1,0.999,0,26646.48,39962.062,63159.68,0,0,0,0,0,0,0,4439.563
O14618,CCS,274,1:Experimental evidence at protein level,Copper chaperone for superoxide dismutase,0.9524,0.999,15612.129,0,22606.684,17730.6,0,0,0,0,0,0,0,5956.424
O14653-2,GOSR2,213,,Isoform B of Golgi SNAP receptor complex member 2,0.9524,0.999,9010.399,13522.163,12481.6,11562.387,0,0,0,1470.474,0,0,4483.9463,6325.024
O14656-2,TOR1A,197,,Isoform 2 of Torsin-1A,1,0.999,5158.4824,10310.304,0,0,0,0,0,0,0,0,0,0
O14657,TOR1B,336,1:Experimental evidence at protein level,Torsin-1B,0.921,0.9983,0,0,0,4322.0127,0,0,0,0,0,0,0,0
O14662-2,STX16,304,,Isoform A of Syntaxin-16,1,0.999,21322.094,29576.055,47709.027,39989.793,0,0,0,0,0,3364.5918,0,0
O14672,ADAM10,748,1:Experimental evidence at protein level,Disintegrin and metalloproteinase domain-containing protein 10,0.9521,0.999,0,35128.836,0,0,0,0,0,0,0,0,0,0
O14681-3,EI24,326,,Isoform 2 of Etoposide-induced protein 2.4 homolog,0.712,0.992,0,0,0,11469.094,0,0,0,0,0,0,0,0
O14727-2,APAF1,1237,,Isoform 2 of Apoptotic protease-activating factor 1,0.6783,0.9906,0,0,0,0,0,0,0,0,0,0,0,0
O14732-2,IMPA2,261,,Isoform 2 of Inositol monophosphatase 2,0.9524,0.999,0,6008.332,5471.9365,4484.8975,0,0,0,0,0,0,0,0
O14735-3,CDIPT,168,,Isoform 3 of CDP-diacylglycerol--inositol 3-phosphatidyltransferase,1,0.999,49005.574,26691.996,45694.785,70565.74,0,0,0,3403.4548,0,0,0,6816.0845
O14737,PDCD5,125,1:Experimental evidence at protein level,Programmed cell death protein 5,1,0.999,90074.81,162758.44,187417.7,87613.07,17044.938,10015.748,0,0,46442.9,32516.994,12711.867,54800.664
O14744,PRMT5,637,1:Experimental evidence at protein level,Protein arginine N-methyltransferase 5,1,0.999,37982.797,71144.75,64169.016,36945.504,0,0,1293.9785,0,14555.375,0,13466.748,6127.3306
O14745,SLC9A3R1,358,1:Experimental evidence at protein level,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,1,0.999,696427.75,1019623.1,1253082.2,904612.7,87128.47,160893.66,0,0,406211.6,152388.89,236949.78,458847.6
O14776-2,TCERG1,1077,,Isoform 2 of Transcription elongation regulator 1,1,0.999,79223.836,88606.85,83961.92,46948.656,0,0,2678.8828,0,11579.673,0,0,0
O14787-2,TNPO2,887,,Isoform 2 of Transportin-2,0.9934,0.999,0,4757.37,5448.725,0,0,0,0,0,0,0,0,0
O14818,PSMA7,248,1:Experimental evidence at protein level,Proteasome subunit alpha type-7,1,0.999,525600.25,694126.44,744183.75,596631.8,114405.016,132788.36,108676.54,28240.156,240550.98,215085.39,149304.48,243210.6
O14828,SCAMP3,347,1:Experimental evidence at protein level,Secretory carrier-associated membrane protein 3,1,0.999,67501.16,61853.72,89309.16,78673.48,0,0,0,0,0,9579.857,0,0
O14874-2,BCKDK,335,,"Isoform 2 of [3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",0.9524,0.999,11809.1875,11179.323,12917.386,9380.344,0,0,0,0,0,0,0,0
O14880,MGST3,152,1:Experimental evidence at protein level,Microsomal glutathione S-transferase 3,1,0.999,102361.445,110269.2,157991.11,123665.87,6078.756,29903.469,17500.83,7412.94,57930.164,49092.566,6409.4824,38117.453
O14907,TAX1BP3,124,1:Experimental evidence at protein level,Tax1-binding protein 3,1,0.999,16302.496,19179.926,40901.07,16413.9,0,6947.9126,0,0,0,0,0,9204.201
O14908,GIPC1,333,1:Experimental evidence at protein level,PDZ domain-containing protein GIPC1,1,0.999,15408.4795,52594.766,80230.33,47502.484,0,0,0,0,0,0,0,0
O14925,TIMM23,209,1:Experimental evidence at protein level,Mitochondrial import inner membrane translocase subunit Tim23,1,0.999,79835.734,82708.16,91020.555,92375.3,0,0,0,0,0,10318.759,0,6480.102
O14929-2,HAT1,334,,Isoform B of Histone acetyltransferase type B catalytic subunit,1,0.999,147885.02,225031.77,238742.77,163218.89,10693.27,20688.219,1894.9335,0,47363.54,51799.035,28250.707,68933.81
O14933,UBE2L6,153,1:Experimental evidence at protein level,Ubiquitin/ISG15-conjugating enzyme E2 L6,0.9523,0.999,0,0,13719.754,0,0,0,0,0,0,0,0,0
O14949,UQCRQ,82,1:Experimental evidence at protein level,Cytochrome b-c1 complex subunit 8,1,0.999,101927.35,105879.93,128463.98,125153.59,0,2078.2695,4940.6523,6323.044,20241.166,16435.05,3236.9531,10526.068
O14950,MYL12B,172,1:Experimental evidence at protein level,Myosin regulatory light chain 12B,0.9988,0.999,10341.795,14911.714,17793.414,14736.955,0,0,0,0,10290.752,0,0,0
O14957,UQCR11,56,1:Experimental evidence at protein level,Cytochrome b-c1 complex subunit 10,1,0.999,31673.13,35330.74,19732.703,21587.08,0,0,0,0,0,0,0,0
O14964-2,HGS,690,,Isoform 2 of Hepatocyte growth factor-regulated tyrosine kinase substrate,1,0.999,13636.787,36327.875,43677.35,24430.926,0,0,0,0,10699.3,0,0,0
O14965,AURKA,403,1:Experimental evidence at protein level,Aurora kinase A,1,0.999,0,0,14883.479,0,0,0,0,0,11339.551,0,0,0
O14972-2,VPS26C,270,,Isoform 2 of Vacuolar protein sorting-associated protein 26C,0.9524,0.999,0,4035.5547,3998.179,0,0,0,0,0,0,0,0,0
O14974-3,PPP1R12A,974,,Isoform 3 of Protein phosphatase 1 regulatory subunit 12A,1,0.999,54409.73,135432.55,134291.05,109984.484,0,0,0,0,8317.072,0,18001.545,16183.635
O14976,GAK,1311,1:Experimental evidence at protein level,Cyclin-G-associated kinase,1,0.999,45978.555,67580.9,83453.63,82176.57,0,0,0,0,2844.9265,0,0,14115.094
O14979-2,HNRNPDL,301,,Isoform 2 of Heterogeneous nuclear ribonucleoprotein D-like,1,0.999,232240.88,289174.84,267684.47,229417.16,14912.917,29553.977,29448.213,23944.893,50011.74,42640.4,23231.178,50563.914
O14980,XPO1,1071,1:Experimental evidence at protein level,Exportin-1,1,0.999,130261.96,274020.56,296118.2,212659.55,3241.9707,21570.947,0,0,66797.35,39442.055,31431.041,37439.434
O15020-2,SPTBN2,2365,,"Isoform 2 of Spectrin beta chain, non-erythrocytic 2",1,0.999,12752.053,21627.426,16412.535,24172.44,0,15013.316,0,0,0,0,0,0
O15027-2,SEC16A,2312,,Isoform 2 of Protein transport protein Sec16A,1,0.999,64362.055,121130.82,106156.64,186042.72,0,0,0,2084.2236,4039.442,0,0,10238.012
O15031,PLXNB2,1838,1:Experimental evidence at protein level,Plexin-B2,1,0.999,0,19022.785,16415.035,0,0,0,0,0,0,0,0,0
O15042-2,U2SURP,1028,,Isoform 2 of U2 snRNP-associated SURP motif-containing protein,1,0.999,87400.086,101939.82,99886.24,99836.58,0,0,11486.708,6765.4136,0,0,0,0
O15056-2,SYNJ2,1451,,Isoform 2B1 of Synaptojanin-2,0.6008,0.9869,0,0,0,0,0,0,0,0,0,0,0,0
O15067,PFAS,1338,1:Experimental evidence at protein level,Phosphoribosylformylglycinamidine synthase,1,0.999,54928.727,107706.625,106134.27,90414.52,0,4671.049,0,0,8065.4526,7130.712,0,12619.79
O15116,LSM1,133,1:Experimental evidence at protein level,U6 snRNA-associated Sm-like protein LSm1,1,0.999,0,18928.879,13647.674,7021.368,0,0,0,0,0,4336.2666,0,5223.031
O15126,SCAMP1,338,1:Experimental evidence at protein level,Secretory carrier-associated membrane protein 1,1,0.999,45795.797,56620.766,61013.855,60071.773,0,3201.0635,5745.6714,0,10152.617,9139.402,6281.565,11505.005
O15127,SCAMP2,329,1:Experimental evidence at protein level,Secretory carrier-associated membrane protein 2,1,0.999,73269.83,70850.125,65666.336,82747.92,0,0,0,0,5575.8613,6801.997,0,16204.216
O15143,ARPC1B,372,1:Experimental evidence at protein level,Actin-related protein 2/3 complex subunit 1B,1,0.999,97669.14,118530.11,140911.67,147652.39,4667.5625,12868.824,0,0,35234.906,25882.105,22828.365,38594.832
O15144,ARPC2,300,1:Experimental evidence at protein level,Actin-related protein 2/3 complex subunit 2,1,0.999,229555.81,443015.53,464155.75,270296.8,16129.744,17651.72,0,0,68616.96,54919.28,30357.988,83113.664
O15145,ARPC3,178,1:Experimental evidence at protein level,Actin-related protein 2/3 complex subunit 3,1,0.999,112378.98,171644.14,168865.28,142225.94,13059.722,8501.604,0,0,28563.62,31125.586,29226.752,55882.785
O15155,BET1,118,1:Experimental evidence at protein level,BET1 homolog,0.9524,0.999,10746.742,17144.69,13711.481,15291.216,0,0,0,0,0,0,0,0
O15160-2,POLR1C,342,,Isoform 2 of DNA-directed RNA polymerases I and III subunit RPAC1,1,0.999,12449.425,33916.883,24722.234,26662.684,0,0,0,0,0,0,4158.1953,0
O15164-2,TRIM24,1016,,Isoform Short of Transcription intermediary factor 1-alpha,0.9524,0.999,4613.0015,0,6993.376,6274.167,0,0,0,0,0,0,0,0
O15173-2,PGRMC2,247,,Isoform 2 of Membrane-associated progesterone receptor component 2,1,0.999,63554.953,80540.48,65501.008,40831.703,0,0,0,0,0,0,0,10197.002
